missing_feature,count
cancellation-processing,22
service-cancellation-workflow,7
cancellation-processing-system,5
event-deletion-functionality,2
message-quota-management,2
quota-management-system,2
live-agent-escalation,2
ad credit granting system for sweepstakes,1
ads-account-closure-procedure,1
ad-review-expedition,1
ClickMagick integration instructions,1
live-chat-transfer,1
api-schema-access,1
ad-rejection-override-capability,1
request-reopening-capability,1
"direct URL testing capability, pixel retrieval system",1
dedicated-account-manager-for-all-users,1
live-agent-transfer,1
direct-time-zone-change-functionality,1
desktop-targeting-configuration,1
real-time-ad-status-check,1
ad scheduling setup instructions,1
direct-invoice-generation,1
account-id-retrieval,1
direct-billing-dispute-resolution,1
ad review status update and management,1
"ad approval capability, fund withdrawal process, direct human agent escalation",1
web-specific-account-navigation-guidance,1
audience-transfer-between-accounts,1
specific-amazon-integration-guide,1
direct pricing information retrieval,1
direct audience network exclusion capability,1
direct-receipt-download,1
ad-account-deletion-capability,1
dedicated-account-manager-access,1
direct-ad-review-capability,1
feature-request-processing,1
announcement-check-diagnostic-tool,1
transaction-download-functionality,1
live-agent-chat-connection,1
ad-duration-modification,1
account-access-support,1
billing-cancellation-processing,1
custom-invoice-generation,1
specific guidance for Everflow offline conversion upload,1
contact-information-retrieval,1
ad-approval-capability,1
time-zone-adjustment,1
spending limit per ad account,1
campaign approval capability,1
access-to-specific-Click-Cost-ID-information,1
direct-invoice-pdf-download,1
direct-human-support-connection,1
automated-url-checking-and-fixing,1
specific RedTrack integration guide,1
"postback integration setup, direct account manager contact",1
monthly-bill-download-functionality,1
"manual payment option for ad credits, manual postback approval",1
real-time platform-specific audience availability,1
campaign-release-control,1
detailed-data-processing-information,1
specific-keitaro-integration-guide,1
service-cancellation-functionality,1
creative rollback functionality,1
access to advertiser data and financial metrics,1
ad-credit-transfer-functionality,1
ad account threshold modification,1
API information access for location targeting,1
real-time competitive analysis tool,1
direct-pixel-authorization,1
campaign-undelete-functionality,1
ad-moderation-status-check,1
detailed-card-information-in-transaction-history,1
direct-ad-link-retrieval,1
campaign duplication functionality,1
access-to-targeting-values,1
direct-access-to-industry-ad-examples,1
invoicing-for-high-spend,1
ad-cancellation-process,1
direct-payment-processing-support,1
campaign approval expedition,1
payment method removal capability,1
direct-website-update-capability,1
lookalike audience creation,1
"conversion tracking troubleshooting, site-specific performance reporting",1
direct-feature-enablement,1
ad credit top-up functionality,1
ad-exclusion-control,1
direct-billing-update-capability,1
url-verification-capability,1
invoice-generation-capability,1
direct campaign configuration access,1
advertisement-cancellation-functionality,1
live chat connection capability,1
specific-integration-instructions-for-Offer18,1
gift card or currency gifting system,1
"role management flexibility, direct campaign adjustment",1
creative-sharing-between-accounts,1
subscription-cancellation-process,1
ad-placement-exclusion-capability,1
ad-campaign-cancellation,1
alternative-verification-methods,1
view-email-addresses-in-audience,1
detailed-error-reporting-for-card-authorization,1
landing-page-editing-capability,1
direct ad cancellation capability,1
human-operator-connection,1
language settings modification,1
placement-targeting-selection,1
time zone customization,1
dedicated-account-manager-assignment,1
demographic-data-access,1
view-edit-existing-pixel-code,1
email-change-functionality,1
support-for-maxconv-integration,1
ad-credit-information-access,1
event-data-viewing-capability,1
direct pixel code troubleshooting,1
manual-ad-placement-control,1
invoice-sending-capability,1
direct-account-cancellation,1
"lookalike audience creation, direct document upload",1
direct-account-deletion-functionality,1
access-token-management-interface,1
direct-cpc-adjustment-tools,1
payment method deletion functionality,1
Chinese-language-support,1
bulk-zip-code-upload-with-city-state,1
web-event-deletion-functionality,1
direct campaign modification capability,1
buygood-network-integration-instructions,1
language change capability,1
ability to increase video ad size limit,1
direct-wire-transfer-details-provision,1
live-chat-functionality,1
international-location-targeting,1
payment processing and authorization troubleshooting,1
interactive-pixel-troubleshooting,1
ad credit transfer capability,1
language-change-functionality,1
support-for-payoneer-payments,1
human-agent-transfer-capability,1
international-banking-support,1
direct-billing-resolution,1
ad credit addition without meeting conditions,1
