satisfaction_indicator,count
conversation-initiated,496
bot-ready-to-help,496
conversation-ended-positively,176
user-confirmed-completion,47
user-thanked-bot,38
user-received-information,22
user-request-fulfilled,17
user-continued-conversation,12
user-asked-follow-up-question,9
user-expressed-gratitude,9
user-received-instructions,9
user-continued-engagement,9
user-continued-asking-questions,7
user-asked-follow-up-questions,6
user-received-guidance,6
user-acknowledged-response,5
user-confirmed-understanding,5
user-followed-instructions,5
user-engaged-with-bot,4
user-received-clear-instructions,4
no-further-questions,3
user-task-completed,3
user-question-answered,2
user-did-not-express-dissatisfaction,2
user-did-not-request-further-assistance,2
user-continued-to-ask-questions,2
user-request-for-live-agent-fulfilled,2
user-did-not-ask-further-questions,2
user-did-not-escalate,2
user-agreed-to-try-solution,1
user-directed-to-correct-channel,1
user-agreed-to-alternative,1
user-initiated-new-request,1
user-questions-answered,1
user-acknowledged-instructions,1
user-task-completion,1
conversation-ended-with-human-agent,1
user-did-not-ask-for-further-help,1
conversation-ended-with-guidance,1
user-acknowledged-guidance,1
user-got-information,1
user-continued-with-next-question,1
user-uploaded-verification,1
user-received-detailed-answers,1
bot-provided-next-steps,1
user-received-suggestions,1
user-provided-details,1
user-received-detailed-information,1
user-followed-up-with-additional-questions,1
user-asked-follow-up,1
user-request-escalated-successfully,1
bot-provided-clear-guidance,1
user-got-required-information,1
user-requested-escalation,1
user-given-clear-next-steps,1
user-got-instructions,1
bot-provided-solution,1
user-followed-up-with-questions,1
no-escalation-request,1
user-received-link,1
user-agreed-to-escalation,1
user-understood-solution,1
user-understood-explanation,1
user-requested-more-details,1
user-received-correct-instructions,1
user-received-answers,1
user-provided-complete-information,1
conversation-ended-normally,1
bot-provided-complete-guidance,1
user-followed-bot-instructions,1
user-received-requested-information,1
user-explored-new-topic,1
user-received-contact-info,1
user-got-scheduling-information,1
user-received-answer,1
user-agreed-to-proceed,1
conversation-continued-positively,1
user-engaged,1
user-asked-new-topic,1
no-escalation-requested,1
user-followed-up-with-specific-question,1
